candidateId,value
630665b8594e18004af05451,Fey Y Alegría N° 68
630665b8594e18004af0545a,Ifb Certus
630665b8594e18004af05463,Universidad Cesar Vallejo - Ucv
630665b8594e18004af0546b,Universidad De Huanuco
630665b8594e18004af05474,Universidad Católica Sede Sapientiae
630665b8594e18004af0547b,Sise
630665b8594e18004af0547b,Instituto Peruano De Negocios
630665b8594e18004af0547b,Itforc
630665b8594e18004af05488,Universidad Nacional Enrique Guzmán Y Valle
630665b8594e18004af05490,Universidad Tecnologica Del Peru
630665b8594e18004af05497,Universidad Cesar Vallejo
630665b8594e18004af054a1,Instituto Continental
630665b8594e18004af054a9,Ceprebanco
630665b8594e18004af054a9,Universidad César Vallejo
630665b8594e18004af054b2,Universidad Nacional De La Amazonia Peruana
630665b8594e18004af054b2,Icpna
630665b8594e18004af054c0,Universidad Privada Del Norte
630665b8594e18004af054c7,Universidad Privada Del Norte
630665b8594e18004af054ce,Universidad Nacional Federico Villareal
630665b8594e18004af054d5,Certus
630665b8594e18004af054d5,Certus
630665b8594e18004af054d5,I.e.p American Whitman
630665b8594e18004af054de,Instituto  Metropolitano
630665b8594e18004af054e7,Universidad Andina Del Cusco
630665b8594e18004af054f0,Isam
630665b8594e18004af054f9,Universidad Tecnológica Del Perú - Utp
630665b8594e18004af05501,Universidad Tecnológica De La S Andes
630665b8594e18004af05508,Juan Bosco De Huanuco
630665b8594e18004af0550e,Universidad Nacional Pedro Ruiz Gallo
630665b8594e18004af05516,Universidad Cesar Vallejo
630665b8594e18004af0551e,Idat
630665b8594e18004af05529,instituto Superior Jhon A. Mackay
630665b8594e18004af05531,Certus
630665b8594e18004af05538,Ifb Certus
630665b8594e18004af05538,Ifb Certus
630665b8594e18004af05542,Juan Velasco Albarado
630665b8594e18004af05542,Certus
630665b8594e18004af0554a,Fundación Pachacútec
630665b8594e18004af05550,Universidad Continental
630665b8594e18004af05557,Universidad Tecnológica Del Perú
630665b8594e18004af0555e,Universidad Cesar Vallejo
630665b8594e18004af0555e,Paul Muller
630665b8594e18004af05568,Certus
630665b8594e18004af0556f,Universidad Nacional Federico Villarreal
630665b8594e18004af05576,Instituto San Ignacio De Loyola
630665b8594e18004af0557c,Universidad Privada Del Norte
630665b8594e18004af05594,Certus
630665b8594e18004af055a1,Universidad Privada Del Norte
630665b8594e18004af055a9,Instituto De Educacion Superior Tecnologico Privado Amazonico
630665b8594e18004af055b1,Utp
630665b8594e18004af055b8,Universidad César Vallejo
630665b8594e18004af055be,Upn
630665b8594e18004af055c5,Universidad Privada Del Norte
630665b8594e18004af055cc,Universidad Ricardo Palma
630665b8594e18004af055d8,Universidad Nacional De La  Amazonia Peruana
630665b8594e18004af055df,Universidad Nacional De La Amazonía Peruana
630665b8594e18004af055e6,Isil
630665b8594e18004af055f4,Instituto Buen Pastor
630665b8594e18004af055f4,Ifb
630665b8594e18004af055f4,Universidad Catolica Sede Sapientea
630665b8594e18004af05600,Universidad Privada Del Norte
630665b8594e18004af05600,Colegio Emblemático Santa Rosa
630665b8594e18004af0560b,I S.t.p Maria Rosario Araoz Pinto
630665b8594e18004af05613,Universidad César Vallejo
630665b8594e18004af05619,Universidad Maria Auxiliadora
630665b8594e18004af0561f,Universidad Alas Peruanas
630665b8594e18004af05626,Universidad De San Martin De Porres
630665b8594e18004af0562e,Universidad Andina Del Cusco
630665b8594e18004af05634,Universidad Privada Del Norte
630665b8594e18004af0563a,Instituto Nacional Antunes De Mayolo
630665b8594e18004af05643,Universidad Cesar Vallejo
630665b8594e18004af0564c,Instituto Sise
630665b8594e18004af05653,Universidad Peruana De Ciencias Aplicadas
630665b8594e18004af0565c,Instituto De Formación Bancaria - Ifb
630665b8594e18004af05663,Universidad Cesar Vallejo - Ucv
630665b8594e18004af0566b,Upc
630665b8594e18004af05671,Instituto De Formación Bancaria - Ifb
630665b8594e18004af0567a,Isil
630665b8594e18004af0567a,Hans Cristian Andersen
630665b8594e18004af05684,Icpna
630665b8594e18004af0568b,Instituto Sise
630665b8594e18004af05691,Universidad De San Martín De Porres
630665b8594e18004af05698,Zegel Ipae
630665b8594e18004af056a5,Universidad Nacional De San Agustín - Unsa
630665b8594e18004af056af,Daniel Alcides Carriòn
630665b8594e18004af056af,Universidad Autonoma Del Peru
630665b8594e18004af056ba,Sise
630665b8594e18004af056c1,Icpna
630665b8594e18004af056c1,Pucp
630665b8594e18004af056c1,Nuestra Señora De Las Mercedes
630665b8594e18004af056d0,Virtualmente
630665b8594e18004af056d7,Universidad Privada Del Norte
630665b8594e18004af056dd,Certus
630665b8594e18004af056dd,Icpna
630665b8594e18004af056ed,Universidad Cesar Vallejo
630665b8594e18004af056ed,I. E 82 El Bosque
630665b8594e18004af056ed,Cica
630665b8594e18004af05700,Uch Ciencias Y Humanidades
630665b8594e18004af05700,Certus
630665b8594e18004af0570c,Universidad Peruana De Ciencias Aplicadas
630665b8594e18004af05713,Universidad San Martin De Porres
630665b8594e18004af0571a,Certus
630665b8594e18004af05721,Universidad Peruana De Las Américas
630665b8594e18004af05721,Cimas
630665b8594e18004af0572f,Universidad Nacional De Piura
630665b8594e18004af05736,Instituto Idat
630665b8594e18004af0573e,Cibertev
630665b8594e18004af05748,Instituto Superior Sise
630665b8594e18004af05748,I.e.p San Juan
630665b8594e18004af05751,Universidad Privada Del Norte
630665b8594e18004af05757,Universidad Nacional San Luis Gonzaga
630665b8594e18004af05762,Intituto Superior Cibertec
630665b8594e18004af05768,San Ignacio De Loyola
630665b8594e18004af0576e,Contabilidad
630665b8594e18004af0576e,Ifb
